dow,hr,min,stage,No.of waiting,Reason,Serviece time
3,22,46,3,24,2,194.4
0,17,41,2,29,0,542.3
2,22,33,2,30,2,585
1,11,58,3,5,3,48.5
2,19,48,3,19,3,169.1
3,21,26,3,33,3,310.2
1,22,22,2,49,0,1102.5
6,0,43,4,40,3,328
4,19,31,2,36,3,813.6
0,15,52,2,30,0,504
3,0,44,2,41,0,906.1
4,0,33,4,21,2,161.7
0,14,16,2,38,1,915.8
5,22,40,3,0,2,0
4,0,30,2,30,2,582
1,0,51,2,5,2,87.5
3,11,31,2,2,1,39.8
1,0,9,3,2,1,22.8
3,10,43,2,16,0,305.6
5,0,48,2,0,1,0
0,0,57,4,14,0,133
6,18,29,2,33,1,775.5
5,0,3,3,30,1,333
0,0,55,3,43,2,374.1
4,0,16,3,23,2,273.7
0,21,31,2,14,2,302.4
4,20,34,3,37,3,407
4,18,13,2,15,0,325.5
1,0,39,2,35,2,843.5
4,20,42,3,39,0,468
0,9,53,4,3,2,20.7
6,0,22,2,21,3,413.7
2,0,27,3,34,3,377.4
6,0,36,3,18,2,205.2
3,10,8,2,28,0,621.6
1,12,7,4,2,2,12.8
1,0,11,2,16,3,360
3,0,53,4,41,0,311.6
1,0,14,2,2,0,32.6
5,22,10,3,9,1,94.5
4,0,25,2,39,0,674.7
5,10,23,4,17,0,134.3
0,22,9,2,16,2,291.2
4,22,36,3,34,3,289
1,11,44,2,6,0,119.4
1,18,47,3,21,1,233.1
0,11,14,4,17,2,166.6
3,20,56,3,44,3,382.8
5,10,23,3,45,0,463.5
1,0,22,3,42,3,449.4
3,9,50,4,44,3,382.8
2,0,22,2,10,2,158
2,19,48,2,20,0,356
6,12,28,2,8,2,199.2
0,9,2,4,45,1,270
1,20,30,2,15,2,345
1,21,6,2,2,0,32.2
6,11,28,2,37,3,725.2
5,21,53,2,30,2,570
6,18,12,2,13,2,305.5
4,11,51,3,18,1,194.4
3,11,44,2,39,3,955.5
3,0,35,4,37,0,281.2
4,18,48,3,21,0,218.4
3,20,52,2,39,1,830.7
1,0,20,2,46,2,915.4
2,18,9,3,41,2,410
6,0,55,2,49,0,1117.2
6,18,53,3,10,0,84
3,20,43,3,25,1,260
6,11,58,2,46,1,1007.4
6,21,57,4,43,3,301
3,20,27,2,0,3,0
6,15,13,2,23,3,453.1
5,0,7,3,36,3,396
3,22,12,2,30,2,696
3,19,22,4,9,0,54
2,19,30,2,27,1,569.7
5,19,40,3,37,3,325.6
0,15,29,3,17,3,137.7
0,10,54,2,45,3,801
2,0,27,4,1,0,7.3
2,12,5,2,40,2,932
4,0,38,3,11,0,124.3
2,18,45,2,41,0,934.8
4,19,28,2,29,1,458.2
5,21,23,3,10,3,99
1,0,31,3,43,2,374.1
5,0,56,3,5,3,52
5,10,40,2,43,2,993.3
5,0,29,2,6,3,108.6
3,0,21,3,1,0,10.3
3,0,20,2,9,2,181.8
1,0,36,2,4,2,60.8
3,9,28,4,40,3,352
1,18,40,2,4,3,94
3,0,25,3,37,2,373.7
5,10,38,4,5,1,49.5
6,0,34,2,4,1,86.8
3,21,44,2,46,3,989
4,19,58,2,37,1,814
1,11,28,2,35,0,609
5,0,27,3,16,0,144
4,9,35,3,21,0,176.4
4,21,26,4,14,2,72.8
4,12,43,3,23,2,269.1
0,11,21,4,8,1,72.8
1,0,38,2,14,2,295.4
1,22,7,2,25,3,550
3,18,39,2,27,1,515.7
3,21,17,4,22,1,195.8
3,22,21,4,6,2,34.2
6,17,19,2,39,2,936
6,0,23,3,37,3,321.9
2,18,43,3,32,2,265.6
0,0,13,4,38,2,254.6
0,11,42,2,6,3,93
1,19,32,2,29,0,614.8
4,0,27,2,7,1,148.4
5,19,20,2,20,0,344
3,21,31,4,33,3,270.6
6,0,20,2,13,0,318.5
0,12,51,3,37,2,429.2
3,9,38,3,14,2,149.8
6,14,22,2,12,1,256.8
0,12,8,4,35,3,262.5
2,0,32,3,15,0,177
4,10,54,3,12,2,98.4
0,14,54,2,1,3,23
3,20,9,2,12,0,237.6
5,21,18,2,5,3,83
4,19,20,2,37,1,854.7
4,20,13,2,42,2,672
0,0,51,4,4,2,30
2,0,3,3,46,3,455.4
5,20,57,2,20,3,438
1,18,51,2,45,0,828
6,11,15,3,31,0,350.3
2,0,2,3,9,0,75.6
5,21,6,3,6,3,60
0,19,44,2,35,1,539
1,19,49,3,36,2,342
6,21,7,4,12,3,116.4
2,0,44,3,33,0,330
1,19,56,3,13,2,137.8
2,9,17,4,3,2,16.2
1,11,39,2,44,1,1073.6
2,0,4,3,16,1,185.6
0,0,47,2,37,0,743.7
5,20,26,2,39,3,900.9
5,18,8,2,48,2,1190.4
0,20,33,4,40,3,348
5,0,43,2,33,2,709.5
6,11,6,3,48,2,484.8
3,0,18,4,5,0,47.5
4,0,0,2,44,3,739.2
1,0,10,3,25,1,227.5
1,0,18,2,24,3,544.8
0,17,21,2,33,0,749.1
4,22,56,4,2,2,17.2
0,21,43,2,23,1,441.6
6,0,21,4,46,0,404.8
4,0,43,4,21,0,197.4
2,0,15,2,15,0,367.5
6,14,58,2,49,0,862.4
0,12,9,4,48,3,384
0,17,37,2,26,0,452.4
0,9,34,2,8,2,184.8
6,21,38,2,28,3,478.8
0,11,21,3,14,3,161
0,0,25,3,39,0,432.9
1,19,0,2,20,3,496
1,0,40,2,33,2,772.2
1,0,46,3,2,3,18.2
3,22,54,2,2,1,42
1,0,54,3,4,2,46.8
5,22,54,3,46,3,427.8
4,19,56,3,45,2,522
2,20,7,2,23,1,460
4,22,22,3,5,1,60
6,17,17,2,23,0,411.7
1,22,12,3,17,0,153
6,12,14,3,27,0,302.4
